,exchange_ticker,ticker,exchange,company,price,shares_outstanding,market_cap,industry,sector,latest_ex_div_date
39,NYSE:AXL,AXL,NYSE,"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC.",7.78,113273000,840485660.0,Automobiles & Auto Parts,Industrial,2000-01-01
40,NYSE:REVG,REVG,NYSE,"REV GROUP, INC.",9.44,63406130,485056894.5,Automobiles & Auto Parts,Industrial,2020-04-29
41,NYSE:TEN,TEN,NYSE,TENNECO INC.,10.27,81262290,656599303.2,Automobiles & Auto Parts,Industrial,2019-03-04
42,NYSE:MEC,MEC,NYSE,"MAYVILLE ENGINEERING COMPANY, INC",13.23,20059390,179932728.3,Automobiles & Auto Parts,Industrial,2000-01-01
43,NASDAQ:GT,GT,NASDAQ,THE GOODYEAR TIRE & RUBBER COMPANY,10.78,233010600,2194959852.0,Automobiles & Auto Parts,Industrial,2020-01-31
44,NYSE:DAN,DAN,NYSE,DANA INCORPORATED,20.040001,144483300,2018431701.0,Automobiles & Auto Parts,Industrial,2020-02-27
45,NYSE:CYD,CYD,NYSE,CHINA YUCHAI INTERNATIONAL LIMITED,17.200001,40858290,706848417.0,Automobiles & Auto Parts,Industrial,2020-07-15
46,NASDAQ:MPAA,MPAA,NASDAQ,"MOTORCAR PARTS OF AMERICA, INC.",22.049999,19020590,330007236.5,Automobiles & Auto Parts,Industrial,2000-01-01
47,NYSE:NIO,NIO,NYSE,NIO INC.,46.0,1362180000,24165073200.0,Automobiles & Auto Parts,Industrial,2000-01-01
48,NASDAQ:NIU,NIU,NASDAQ,Niu Technologies,28.75,74746520,1346184825.0,Automobiles & Auto Parts,Industrial,2000-01-01
49,NASDAQ:SHYF,SHYF,NASDAQ,"THE SHYFT GROUP, INC.",28.41,35565110,693875296.1,Automobiles & Auto Parts,Industrial,2020-11-17
50,NYSE:SRI,SRI,NYSE,"STONERIDGE, INC.",29.73,27003160,534392536.4,Automobiles & Auto Parts,Industrial,2000-01-01
51,NYSE:MTOR,MTOR,NYSE,"MERITOR, INC.",28.48,72289340,1659040353.0,Automobiles & Auto Parts,Industrial,2000-01-01
52,NYSE:HMC,HMC,NYSE,"HONDA MOTOR CO., LTD.",29.32,1811428000,45158900040.0,Automobiles & Auto Parts,Industrial,2020-06-26
53,NASDAQ:GNTX,GNTX,NASDAQ,GENTEX CORPORATION,33.700001,245779600,6476292460.0,Automobiles & Auto Parts,Industrial,2020-10-08
54,NYSE:HOG,HOG,NYSE,"HARLEY-DAVIDSON, INC.",36.389998999999996,153241300,4327534312.0,Automobiles & Auto Parts,Industrial,2020-12-03
55,NYSE:GM,GM,NYSE,GENERAL MOTORS COMPANY,42.029999,1431097000,43176196490.0,Automobiles & Auto Parts,Industrial,2020-03-05
56,NYSE:MLR,MLR,NYSE,"MILLER INDUSTRIES, INC.",36.099998,11405470,351402530.7,Automobiles & Auto Parts,Industrial,2020-12-04
57,NASDAQ:LKQ,LKQ,NASDAQ,LKQ CORPORATION,37.119999,304292600,9527401306.0,Automobiles & Auto Parts,Industrial,2000-01-01
58,NYSE:CTB,CTB,NYSE,COOPER TIRE & RUBBER COMPANY,40.490002000000004,50306090,1751658054.0,Automobiles & Auto Parts,Industrial,2020-11-30
59,NYSE:BWA,BWA,NYSE,BORGWARNER INC.,39.0,207254200,8634209972.0,Automobiles & Auto Parts,Industrial,2020-11-30
60,NASDAQ:THRM,THRM,NASDAQ,GENTHERM INCORPORATED,64.839996,32654860,1406771369.0,Automobiles & Auto Parts,Industrial,2000-01-01
