exchange_ticker,ticker,exchange,company,price,shares_outstanding,market_cap,industry,sector,latest_ex_div_date
NYSE:LC,LC,NYSE,LENDINGCLUB CORPORATION,4.85,71515430,346849835.5,Banking Services,Financial,2000-01-01
NYSE:AVAL,AVAL,NYSE,Grupo Aval Acciones y Valores SA,4.91,22281020000,1.094E+11,Banking Services,Financial,2000-01-01
NYSE:VEL,VEL,NYSE,"VELOCITY FINANCIAL, INC.",5.3,20087490,106463697,Banking Services,Financial,2000-01-01
NYSE:BCS,BCS,NYSE,BARCLAYS PLC,5.3,4337711000,22989868300,Banking Services,Financial,2000-01-01
NASDAQ:EZPW,EZPW,NASDAQ,"EZCORP, INC.",5.33,55067760,293511160.8,Banking Services,Financial,2000-01-01
NYSE:BSBR,BSBR,NYSE,Banco Santander Brasil SA,5.41,3749266000,20283529060,Banking Services,Financial,2000-01-01
NASDAQ:TRST,TRST,NASDAQ,TRUSTCO BANK CORP N Y,5.58,96432660,538094242.8,Banking Services,Financial,2000-01-01
NYSE:FBP,FBP,NYSE,First Bancorp,5.62,218157600,1226045712,Banking Services,Financial,2000-01-01
NASDAQ:BPFH,BPFH,NASDAQ,"BOSTON PRIVATE FINANCIAL HOLDINGS, INC.",5.64,82196820,463590064.8,Banking Services,Financial,2000-01-01
NYSE:SMFG,SMFG,NYSE,"Sumitomo Mitsui Financial Group, Inc.",5.78,6870200000,39709756000,Banking Services,Financial,2000-01-01
